Year,Name,Gender,Count,Ranking
2013,Sophia,F,21075,1
2013,Emma,F,20788,2
2013,Olivia,F,18256,3
2013,Isabella,F,17490,4
2013,Ava,F,15129,5
2013,Mia,F,13066,6
2013,Emily,F,13044,7
2013,Abigail,F,12313,8
2013,Madison,F,10529,9
2013,Elizabeth,F,9345,10
2013,Charlotte,F,9232,11
2013,Avery,F,9121,12
2013,Sofia,F,9108,13
2013,Chloe,F,8714,14
2013,Ella,F,8370,15
2013,Harper,F,8222,16
2013,Amelia,F,7979,17
2013,Aubrey,F,7927,18
2013,Addison,F,7677,19
2013,Evelyn,F,7616,20
2013,Noah,M,18090,1
2013,Liam,M,18002,2
2013,Jacob,M,17976,3
2013,Mason,M,17591,4
2013,William,M,16495,5
2013,Ethan,M,16127,6
2013,Michael,M,15366,7
2013,Alexander,M,14771,8
2013,Jayden,M,14656,9
2013,Daniel,M,14140,10
2013,Elijah,M,13626,11
2013,Aiden,M,13527,12
2013,James,M,13416,13
2013,Benjamin,M,13373,14
2013,Matthew,M,13226,15
2013,Jackson,M,12488,16
2013,Logan,M,12270,17
2013,David,M,12226,18
2013,Anthony,M,12164,19
2013,Joseph,M,12095,20
2012,Sophia,F,22245,1
2012,Emma,F,20871,2
2012,Isabella,F,19026,3
2012,Olivia,F,17253,4
2012,Ava,F,15494,5
2012,Emily,F,13606,6
2012,Abigail,F,12644,7
2012,Mia,F,11978,8
2012,Madison,F,11360,9
2012,Elizabeth,F,9647,10
2012,Chloe,F,9628,11
2012,Ella,F,9164,12
2012,Avery,F,8303,13
2012,Addison,F,8159,14
2012,Aubrey,F,8028,15
2012,Lily,F,7933,16
2012,Natalie,F,7880,17
2012,Sofia,F,7808,18
2012,Charlotte,F,7459,19
2012,Zoey,F,7442,20
2012,Jacob,M,18999,1
2012,Mason,M,18920,2
2012,Ethan,M,17621,3
2012,Noah,M,17275,4
2012,William,M,16818,5
2012,Liam,M,16756,6
2012,Michael,M,16076,7
2012,Jayden,M,16069,8
2012,Alexander,M,15182,9
2012,Aiden,M,14840,10
2012,Daniel,M,14209,11
2012,Matthew,M,13917,12
2012,Elijah,M,13786,13
2012,James,M,13351,14
2012,Anthony,M,13144,15
2012,Benjamin,M,12773,16
2012,Joshua,M,12587,17
2012,Andrew,M,12566,18
2012,Joseph,M,12481,19
2012,David,M,12478,20
2011,Sophia,F,21799,1
2011,Isabella,F,19850,2
2011,Emma,F,18761,3
2011,Olivia,F,17286,4
2011,Ava,F,15471,5
2011,Emily,F,14228,6
2011,Abigail,F,13221,7
2011,Madison,F,12351,8
2011,Mia,F,11503,9
2011,Chloe,F,10966,10
2011,Elizabeth,F,10050,11
2011,Ella,F,9567,12
2011,Addison,F,9286,13
2011,Natalie,F,8620,14
2011,Lily,F,8164,15
2011,Grace,F,7613,16
2011,Samantha,F,7375,17
2011,Avery,F,7331,18
2011,Sofia,F,7314,19
2011,Aubrey,F,7167,20
2011,Jacob,M,20310,1
2011,Mason,M,19478,2
2011,William,M,17298,3
2011,Jayden,M,16939,4
2011,Noah,M,16824,5
2011,Michael,M,16716,6
2011,Ethan,M,16657,7
2011,Alexander,M,15672,8
2011,Aiden,M,15460,9
2011,Daniel,M,15232,10
2011,Anthony,M,14236,11
2011,Matthew,M,14136,12
2011,Elijah,M,13919,13
2011,Joshua,M,13709,14
2011,Liam,M,13415,15
2011,Andrew,M,13242,16
2011,James,M,13215,17
2011,David,M,13177,18
2011,Benjamin,M,13034,19
2011,Christopher,M,12960,20
2010,Isabella,F,22872,1
2010,Sophia,F,20601,2
2010,Emma,F,17316,3
2010,Olivia,F,17004,4
2010,Ava,F,15407,5
2010,Emily,F,14256,6
2010,Abigail,F,14223,7
2010,Madison,F,13155,8
2010,Chloe,F,11735,9
2010,Mia,F,10618,10
2010,Addison,F,10313,11
2010,Elizabeth,F,10234,12
2010,Ella,F,9866,13
2010,Natalie,F,8760,14
2010,Samantha,F,8391,15
2010,Alexis,F,8246,16
2010,Lily,F,7970,17
2010,Grace,F,7670,18
2010,Hailey,F,7002,19
2010,Alyssa,F,6974,20
2010,Jacob,M,22074,1
2010,Ethan,M,17984,2
2010,Michael,M,17291,3
2010,Jayden,M,17137,4
2010,William,M,17024,5
2010,Alexander,M,16737,6
2010,Noah,M,16416,7
2010,Daniel,M,15806,8
2010,Aiden,M,15509,9
2010,Anthony,M,15461,10
2010,Joshua,M,15400,11
2010,Mason,M,14819,12
2010,Christopher,M,14236,13
2010,Andrew,M,14213,14
2010,David,M,14158,15
2010,Matthew,M,14092,16
2010,Logan,M,14009,17
2010,Elijah,M,13861,18
2010,James,M,13833,19
2010,Joseph,M,13785,20
2009,Isabella,F,22273,1
2009,Emma,F,17877,2
2009,Olivia,F,17416,3
2009,Sophia,F,16920,4
2009,Ava,F,15858,5
2009,Emily,F,15333,6
2009,Madison,F,15213,7
2009,Abigail,F,14373,8
2009,Chloe,F,11891,9
2009,Mia,F,11407,10
