Year,Count,Name,Gender,Ranking
2013,21075,Sophia,F,1
2013,20788,Emma,F,2
2013,18256,Olivia,F,3
2013,17490,Isabella,F,4
2013,15129,Ava,F,5
2013,13066,Mia,F,6
2013,13044,Emily,F,7
2013,12313,Abigail,F,8
2013,10529,Madison,F,9
2013,9345,Elizabeth,F,10
2013,9232,Charlotte,F,11
2013,9121,Avery,F,12
2013,9108,Sofia,F,13
2013,8714,Chloe,F,14
2013,8370,Ella,F,15
2013,8222,Harper,F,16
2013,7979,Amelia,F,17
2013,7927,Aubrey,F,18
2013,7677,Addison,F,19
2013,7616,Evelyn,F,20
2013,18090,Noah,M,1
2013,18002,Liam,M,2
2013,17976,Jacob,M,3
2013,17591,Mason,M,4
2013,16495,William,M,5
2013,16127,Ethan,M,6
2013,15366,Michael,M,7
2013,14771,Alexander,M,8
2013,14656,Jayden,M,9
2013,14140,Daniel,M,10
2013,13626,Elijah,M,11
2013,13527,Aiden,M,12
2013,13416,James,M,13
2013,13373,Benjamin,M,14
2013,13226,Matthew,M,15
2013,12488,Jackson,M,16
2013,12270,Logan,M,17
2013,12226,David,M,18
2013,12164,Anthony,M,19
2013,12095,Joseph,M,20
2012,22245,Sophia,F,1
2012,20871,Emma,F,2
2012,19026,Isabella,F,3
2012,17253,Olivia,F,4
2012,15494,Ava,F,5
2012,13606,Emily,F,6
2012,12644,Abigail,F,7
2012,11978,Mia,F,8
2012,11360,Madison,F,9
2012,9647,Elizabeth,F,10
2012,9628,Chloe,F,11
2012,9164,Ella,F,12
2012,8303,Avery,F,13
2012,8159,Addison,F,14
2012,8028,Aubrey,F,15
2012,7933,Lily,F,16
2012,7880,Natalie,F,17
2012,7808,Sofia,F,18
2012,7459,Charlotte,F,19
2012,7442,Zoey,F,20
2012,18999,Jacob,M,1
2012,18920,Mason,M,2
2012,17621,Ethan,M,3
2012,17275,Noah,M,4
2012,16818,William,M,5
2012,16756,Liam,M,6
2012,16076,Michael,M,7
2012,16069,Jayden,M,8
2012,15182,Alexander,M,9
2012,14840,Aiden,M,10
2012,14209,Daniel,M,11
2012,13917,Matthew,M,12
2012,13786,Elijah,M,13
2012,13351,James,M,14
2012,13144,Anthony,M,15
2012,12773,Benjamin,M,16
2012,12587,Joshua,M,17
2012,12566,Andrew,M,18
2012,12481,Joseph,M,19
2012,12478,David,M,20
2011,21799,Sophia,F,1
2011,19850,Isabella,F,2
2011,18761,Emma,F,3
2011,17286,Olivia,F,4
2011,15471,Ava,F,5
2011,14228,Emily,F,6
2011,13221,Abigail,F,7
2011,12351,Madison,F,8
2011,11503,Mia,F,9
2011,10966,Chloe,F,10
2011,10050,Elizabeth,F,11
2011,9567,Ella,F,12
2011,9286,Addison,F,13
2011,8620,Natalie,F,14
2011,8164,Lily,F,15
2011,7613,Grace,F,16
2011,7375,Samantha,F,17
2011,7331,Avery,F,18
2011,7314,Sofia,F,19
2011,7167,Aubrey,F,20
2011,20310,Jacob,M,1
2011,19478,Mason,M,2
2011,17298,William,M,3
2011,16939,Jayden,M,4
2011,16824,Noah,M,5
2011,16716,Michael,M,6
2011,16657,Ethan,M,7
2011,15672,Alexander,M,8
2011,15460,Aiden,M,9
2011,15232,Daniel,M,10
2011,14236,Anthony,M,11
2011,14136,Matthew,M,12
2011,13919,Elijah,M,13
2011,13709,Joshua,M,14
2011,13415,Liam,M,15
2011,13242,Andrew,M,16
2011,13215,James,M,17
2011,13177,David,M,18
2011,13034,Benjamin,M,19
2011,12960,Christopher,M,20
2010,22872,Isabella,F,1
2010,20601,Sophia,F,2
2010,17316,Emma,F,3
2010,17004,Olivia,F,4
2010,15407,Ava,F,5
2010,14256,Emily,F,6
2010,14223,Abigail,F,7
2010,13155,Madison,F,8
2010,11735,Chloe,F,9
2010,10618,Mia,F,10
2010,10313,Addison,F,11
2010,10234,Elizabeth,F,12
2010,9866,Ella,F,13
2010,8760,Natalie,F,14
2010,8391,Samantha,F,15
2010,8246,Alexis,F,16
2010,7970,Lily,F,17
2010,7670,Grace,F,18
2010,7002,Hailey,F,19
2010,6974,Alyssa,F,20
2010,22074,Jacob,M,1
2010,17984,Ethan,M,2
2010,17291,Michael,M,3
2010,17137,Jayden,M,4
2010,17024,William,M,5
2010,16737,Alexander,M,6
2010,16416,Noah,M,7
2010,15806,Daniel,M,8
2010,15509,Aiden,M,9
2010,15461,Anthony,M,10
2010,15400,Joshua,M,11
2010,14819,Mason,M,12
2010,14236,Christopher,M,13
2010,14213,Andrew,M,14
2010,14158,David,M,15
2010,14092,Matthew,M,16
2010,14009,Logan,M,17
2010,13861,Elijah,M,18
2010,13833,James,M,19
2010,13785,Joseph,M,20
2009,22273,Isabella,F,1
2009,17877,Emma,F,2
2009,17416,Olivia,F,3
2009,16920,Sophia,F,4
2009,15858,Ava,F,5
2009,15333,Emily,F,6
2009,15213,Madison,F,7
2009,14373,Abigail,F,8
2009,11891,Chloe,F,9
2009,11407,Mia,F,10
2009,11015,Elizabeth,F,11
2009,10652,Addison,F,12
2009,9917,Alexis,F,13
2009,9648,Samantha,F,14
2009,9642,Ella,F,15
2009,9400,Natalie,F,16
2009,8304,Grace,F,17
2009,8090,Lily,F,18
2009,7948,Alyssa,F,19
2009,7808,Ashley,F,20
2009,21133,Jacob,M,1
2009,19828,Ethan,M,2
2009,18899,Michael,M,3
2009,18211,Alexander,M,4
2009,17890,William,M,5
2009,17611,Joshua,M,6
2009,17518,Daniel,M,7
2009,17247,Jayden,M,8
2009,17218,Noah,M,9
2009,16326,Christopher,M,10
2009,16276,Anthony,M,11
2009,15995,Aiden,M,12
2009,15959,Matthew,M,13
2009,15417,David,M,14
2009,14883,Joseph,M,15
2009,14837,Andrew,M,16
2009,14436,Logan,M,17
2009,14170,James,M,18
2009,13096,Ryan,M,19
2009,13095,Benjamin,M,20
2008,18791,Emma,F,1
2008,18598,Isabella,F,2
2008,17419,Emily,F,3
2008,17066,Olivia,F,4
2008,17024,Ava,F,5
2008,17016,Madison,F,6
2008,16071,Sophia,F,7
2008,15069,Abigail,F,8
2008,11980,Elizabeth,F,9
2008,11813,Chloe,F,10
2008,11172,Samantha,F,11
2008,10755,Addison,F,12
2008,10194,Natalie,F,13
2008,10165,Mia,F,14
2008,9711,Alexis,F,15
2008,9623,Alyssa,F,16
2008,9550,Hannah,F,17
2008,9399,Ashley,F,18
2008,9342,Ella,F,19
2008,9031,Grace,F,20
2008,22560,Jacob,M,1
2008,20580,Michael,M,2
2008,20194,Ethan,M,3
2008,19177,Joshua,M,4
2008,18977,Daniel,M,5
2008,18676,Alexander,M,6
2008,18374,Anthony,M,7
2008,18372,William,M,8
2008,17920,Christopher,M,9
2008,17568,Matthew,M,10
2008,17122,Jayden,M,11
2008,16739,Andrew,M,12
2008,16539,Joseph,M,13
2008,16293,David,M,14
2008,15771,Noah,M,15
2008,15566,Aiden,M,16
2008,15143,James,M,17
2008,14668,Ryan,M,18
2008,13834,Logan,M,19
2008,13303,John,M,20
2007,19340,Emily,F,1
2007,19126,Isabella,F,2
2007,18360,Emma,F,3
2007,18037,Ava,F,4
2007,17946,Madison,F,5
2007,17011,Sophia,F,6
2007,16570,Olivia,F,7
2007,15460,Abigail,F,8
2007,13290,Hannah,F,9
2007,13031,Elizabeth,F,10
2007,11943,Addison,F,11
2007,11865,Samantha,F,12
2007,11421,Ashley,F,13
2007,11256,Alyssa,F,14
2007,10905,Mia,F,15
2007,10741,Chloe,F,16
2007,10430,Natalie,F,17
2007,9983,Sarah,F,18
2007,9898,Alexis,F,19
2007,9760,Grace,F,20
2007,24245,Jacob,M,1
2007,21957,Michael,M,2
2007,21013,Ethan,M,3
2007,20637,Joshua,M,4
2007,20228,Daniel,M,5
2007,19995,Christopher,M,6
2007,19605,Anthony,M,7
2007,18866,William,M,8
2007,18719,Matthew,M,9
2007,18435,Andrew,M,10
2007,18127,Alexander,M,11
2007,17505,David,M,12
2007,17311,Joseph,M,13
2007,16580,Noah,M,14
2007,15937,James,M,15
2007,15700,Ryan,M,16
2007,15310,Logan,M,17
2007,15220,Jayden,M,18
2007,14417,John,M,19
2007,14348,Nicholas,M,20
2006,21385,Emily,F,1
2006,19104,Emma,F,2
2006,18610,Madison,F,3
2006,18212,Isabella,F,4
2006,16935,Ava,F,5
2006,15621,Abigail,F,6
2006,15487,Olivia,F,7
2006,14535,Hannah,F,8
2006,13493,Sophia,F,9
2006,12453,Samantha,F,10
2006,12411,Elizabeth,F,11
2006,12336,Ashley,F,12
2006,12015,Mia,F,13
2006,11219,Alexis,F,14
2006,11140,Sarah,F,15
2006,10962,Grace,F,16
2006,10940,Natalie,F,17
2006,10396,Chloe,F,18
2006,10169,Alyssa,F,19
2006,9359,Brianna,F,20
2006,24820,Jacob,M,1
2006,22620,Michael,M,2
2006,22298,Joshua,M,3
2006,20498,Ethan,M,4
2006,20309,Matthew,M,5
2006,20043,Daniel,M,6
2006,19701,Andrew,M,7
2006,19659,Christopher,M,8
2006,19388,Anthony,M,9
2006,18938,William,M,10
2006,18422,Joseph,M,11
2006,18212,Alexander,M,12
2006,17609,David,M,13
2006,16422,Ryan,M,14
2006,16320,Noah,M,15
2006,16225,James,M,16
2006,15661,Nicholas,M,17
2006,15528,Tyler,M,18
2006,15152,John,M,19
2006,15136,Logan,M,20
2005,23925,Emily,F,1
2005,20332,Emma,F,2
2005,19559,Madison,F,3
2005,15746,Abigail,F,4
2005,15690,Olivia,F,5
2005,15168,Isabella,F,6
2005,14840,Hannah,F,7
2005,13631,Samantha,F,8
2005,13601,Ava,F,9
2005,13270,Ashley,F,10
2005,12718,Elizabeth,F,11
2005,12667,Sophia,F,12
2005,11959,Alexis,F,13
2005,11859,Grace,F,14
2005,11523,Sarah,F,15
2005,10879,Alyssa,F,16
2005,10838,Mia,F,17
2005,10728,Natalie,F,18
2005,9583,Chloe,F,19
2005,9354,Brianna,F,20
2005,25814,Jacob,M,1
2005,23789,Michael,M,2
2005,23231,Joshua,M,3
2005,21452,Matthew,M,4
2005,21300,Ethan,M,5
2005,20715,Andrew,M,6
2005,20197,Daniel,M,7
2005,19359,Anthony,M,8
2005,19193,Joseph,M,9
2005,19156,Christopher,M,10
2005,19040,William,M,11
2005,18106,Alexander,M,12
2005,18093,David,M,13
2005,17977,Ryan,M,14
2005,17064,Nicholas,M,15
2005,16979,Tyler,M,16
2005,16118,James,M,17
2005,15757,John,M,18
2005,14430,Jonathan,M,19
2005,14346,Nathan,M,20
2004,25021,Emily,F,1
2004,21596,Emma,F,2
2004,20614,Madison,F,3
2004,16100,Olivia,F,4
2004,15598,Hannah,F,5
2004,15422,Abigail,F,6
2004,15012,Isabella,F,7
2004,14369,Ashley,F,8
2004,13774,Samantha,F,9
2004,13547,Elizabeth,F,10
2004,13464,Alexis,F,11
2004,12724,Sarah,F,12
2004,12525,Grace,F,13
2004,12099,Alyssa,F,14
2004,10913,Sophia,F,15
2004,9981,Lauren,F,16
2004,9795,Brianna,F,17
2004,9764,Kayla,F,18
2004,9686,Natalie,F,19
2004,9514,Anna,F,20
2004,27870,Jacob,M,1
2004,25434,Michael,M,2
2004,24181,Joshua,M,3
2004,22866,Matthew,M,4
2004,22201,Ethan,M,5
2004,21691,Andrew,M,6
2004,20963,Daniel,M,7
2004,20219,William,M,8
2004,20111,Joseph,M,9
2004,19617,Christopher,M,10
2004,19590,Anthony,M,11
2004,19485,Ryan,M,12
2004,18504,Nicholas,M,13
2004,18369,David,M,14
2004,17914,Alexander,M,15
2004,17436,Tyler,M,16
2004,16446,James,M,17
2004,16435,John,M,18
2004,14840,Dylan,M,19
2004,14621,Nathan,M,20
2003,25683,Emily,F,1
2003,22698,Emma,F,2
2003,20197,Madison,F,3
2003,17628,Hannah,F,4
2003,16141,Olivia,F,5
2003,15917,Abigail,F,6
2003,14857,Alexis,F,7
2003,14512,Ashley,F,8
2003,14090,Elizabeth,F,9
2003,13862,Samantha,F,10
2003,13770,Isabella,F,11
2003,13752,Sarah,F,12
2003,12770,Grace,F,13
2003,12741,Alyssa,F,14
2003,11045,Lauren,F,15
2003,10949,Kayla,F,16
2003,10578,Brianna,F,17
2003,10445,Jessica,F,18
2003,10303,Taylor,F,19
2003,9682,Sophia,F,20
2003,29610,Jacob,M,1
2003,27102,Michael,M,2
2003,25084,Joshua,M,3
2003,23989,Matthew,M,4
2003,22143,Andrew,M,5
2003,21353,Ethan,M,6
2003,21348,Joseph,M,7
2003,21028,Daniel,M,8
2003,20735,Christopher,M,9
2003,20139,Anthony,M,10
2003,19987,William,M,11
2003,19687,Nicholas,M,12
2003,19570,Ryan,M,13
2003,18603,David,M,14
2003,18172,Tyler,M,15
2003,17704,Alexander,M,16
2003,17217,John,M,17
2003,16887,James,M,18
2003,15696,Dylan,M,19
2003,15537,Zachary,M,20
2002,24456,Emily,F,1
2002,21772,Madison,F,2
2002,18814,Hannah,F,3
2002,16528,Emma,F,4
2002,15631,Alexis,F,5
2002,15336,Ashley,F,6
2002,15292,Abigail,F,7
2002,14750,Sarah,F,8
2002,14657,Samantha,F,9
2002,14628,Olivia,F,10
2002,14590,Elizabeth,F,11
2002,12841,Alyssa,F,12
2002,12322,Lauren,F,13
2002,12164,Isabella,F,14
2002,12052,Grace,F,15
2002,11912,Jessica,F,16
2002,11516,Brianna,F,17
2002,11464,Taylor,F,18
2002,11306,Kayla,F,19
2002,10381,Anna,F,20
2002,30554,Jacob,M,1
2002,28237,Michael,M,2
2002,25975,Joshua,M,3
2002,25147,Matthew,M,4
2002,22103,Ethan,M,5
